Time,geo,Value,age,sex,unit
2016,ES,46418884,TOTAL,T,NR
2016,SE,9851017,TOTAL,T,NR
2017,AT,8772865,TOTAL,T,NR
2017,BE,11351727,TOTAL,T,NR
2017,BG,6849518,TOTAL,T,NR
2017,HR,4078769,TOTAL,T,NR
2017,CY,869878,TOTAL,T,NR
2017,CZ,10578820,TOTAL,T,NR
2017,DK,5748769,TOTAL,T,NR
2017,EE,1315635,TOTAL,T,NR
2017,FI,5503297,TOTAL,T,NR
2017,FR,66809816,TOTAL,T,NR
2017,DE,82521653,TOTAL,T,NR
2017,EL,10768193,TOTAL,T,NR
2017,HU,9739857,TOTAL,T,NR
2017,IE,4799157,TOTAL,T,NR
2017,IT,60066734,TOTAL,T,NR
2017,LV,1950116,TOTAL,T,NR
2017,LT,2859077,TOTAL,T,NR
2017,LU,590667,TOTAL,T,NR
2017,MT,459375,TOTAL,T,NR
2017,NL,17081507,TOTAL,T,NR
2017,PL,37972964,TOTAL,T,NR
2017,PT,10344478,TOTAL,T,NR
2017,RO,19643949,TOTAL,T,NR
2017,SK,5435343,TOTAL,T,NR
2017,SI,2065895,TOTAL,T,NR
2017,ES,46497393,TOTAL,T,NR
2017,SE,9995153,TOTAL,T,NR
2018,AT,8822267,TOTAL,T,NR
2018,BE,11398589,TOTAL,T,NR
2018,BG,6757418,TOTAL,T,NR
2018,HR,4014341,TOTAL,T,NR
2018,CY,878601,TOTAL,T,NR
2018,CZ,10610055,TOTAL,T,NR
2018,DK,5781190,TOTAL,T,NR
2018,EE,1319133,TOTAL,T,NR
2018,FI,5513130,TOTAL,T,NR
2018,FR,67026224,TOTAL,T,NR
2018,DE,82792351,TOTAL,T,NR
2018,EL,10741165,TOTAL,T,NR
2018,HU,9713655,TOTAL,T,NR
2018,IE,4855733,TOTAL,T,NR
2018,IT,59937769,TOTAL,T,NR
2018,LV,1934379,TOTAL,T,NR
2018,LT,2826200,TOTAL,T,NR
2018,LU,602005,TOTAL,T,NR
2018,MT,474837,TOTAL,T,NR
2018,NL,17181084,TOTAL,T,NR
2018,PL,37976687,TOTAL,T,NR
2018,PT,10335770,TOTAL,T,NR
2018,RO,19533481,TOTAL,T,NR
2018,SK,5443120,TOTAL,T,NR
2018,SI,2066880,TOTAL,T,NR
2018,ES,46645070,TOTAL,T,NR
2018,SE,10120242,TOTAL,T,NR
2019,AT,8858775,TOTAL,T,NR
2019,BE,11455519,TOTAL,T,NR
2019,BG,6664177,TOTAL,T,NR
2019,HR,3968676,TOTAL,T,NR
2019,CY,890194,TOTAL,T,NR
2019,CZ,10649800,TOTAL,T,NR
2019,DK,5806081,TOTAL,T,NR
2019,EE,1324820,TOTAL,T,NR
2019,FI,5517919,TOTAL,T,NR
2019,FR,67290471,TOTAL,T,NR
2019,DE,83019213,TOTAL,T,NR
2019,EL,10724599,TOTAL,T,NR
2019,HU,9700272,TOTAL,T,NR
2019,IE,4940311,TOTAL,T,NR
2019,IT,59816673,TOTAL,T,NR
2019,LV,1919968,TOTAL,T,NR
2019,LT,2812200,TOTAL,T,NR
2019,LU,613894,TOTAL,T,NR
2019,MT,492968,TOTAL,T,NR
2019,NL,17282163,TOTAL,T,NR
2019,PL,37972812,TOTAL,T,NR
2019,PT,10333496,TOTAL,T,NR
2019,RO,19414458,TOTAL,T,NR
2019,SK,5450421,TOTAL,T,NR
2019,SI,2080908,TOTAL,T,NR
2019,ES,46918951,TOTAL,T,NR
2019,SE,10230185,TOTAL,T,NR
2020,AT,8901064,TOTAL,T,NR
2020,BE,11522440,TOTAL,T,NR
2020,BG,6569275,TOTAL,T,NR
2020,HR,3933511,TOTAL,T,NR
2020,CY,902429,TOTAL,T,NR
2020,CZ,10693939,TOTAL,T,NR
2020,DK,5822763,TOTAL,T,NR
2020,EE,1328976,TOTAL,T,NR
2020,FI,5525292,TOTAL,T,NR
