YEAR,AT,BE,BG,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IT,LT,LU,LV,MT,NL,PL,PT,RO,SE,SI,SK
2012,15.163911175873897,18.264899548921086,11.900823558826644,4.176280813121874,15.677584338407367,12.312036042271739,11.844782812198728,17.883863548384905,4.582188312425145,7.559023123028238,16.144360202893136,14.89345792834819,18.101096730015826,23.65100421116752,11.788323545683676,7.0809198906883,30.862543160118,9.717006476099023,21.664572750662284,5.987364266452079,10.477964953269352,16.72192828292042,10.190407190108864,12.415408522175264,12.137694818701751,21.40602560160662,10.565617666748947
2013,15.274744257477051,17.01386625610726,9.99645125980277,5.2152507840260345,14.957981195544939,12.513079061175322,10.887747678410918,16.512974804836333,0.0,8.28469376068367,16.345186757118633,14.617300060136873,16.26723273183808,21.151562618428034,10.56449777744226,7.108811045297327,36.47503880305395,7.448248637436015,18.8751497782664,5.2199001575460775,11.049147549923047,16.328392210345424,10.02485841196532,12.087867407483108,12.840244234630925,21.662883757257188,11.384562385553728
2014,15.432922266733085,16.975468748323024,10.144078225736088,5.116088703676143,14.154686946933907,12.639990932982505,11.177780917271093,18.31558899818288,5.170769466322596,8.40937183411884,14.363625357026894,13.413237437124033,17.118610632696264,19.563020794364224,0.0,6.868733140636508,31.548288217019657,12.188909911221074,19.085990882692105,7.473911378095835,10.927377858922027,15.605824799799336,11.709969617272616,11.069161151595821,11.90270801122753,18.82503632795348,10.210583593013892
2015,14.548756739429086,16.60545075255796,9.63058114938212,4.6465918410493865,13.13307918041615,12.411706527502183,9.965166090518693,14.83036345798444,4.871975714168092,7.758630011182164,0.0,0.0,17.675556666423496,21.322639345434705,9.08580354953484,6.614092591358855,30.61527128000536,11.368521275121768,19.43511290491497,7.748316450359499,11.070530342897696,14.25315744142431,10.8897241311573,11.177290804874144,12.095589008505385,20.456896543366195,0.0
2016,13.7693694973525,16.84183799000576,9.598258132325968,4.167805094910184,12.469391481377922,11.971911301644901,10.109946101897393,13.906366836278748,4.497508658399659,7.6886811841491065,14.323963590161151,0.0,16.53306673864078,18.01700101394201,9.246160727471846,6.429124585929805,28.42269906509005,7.462051994884156,18.486945118659268,5.337662770914186,11.148987697831219,12.302721540579926,9.461300003838529,9.964279903656697,11.511501807376842,17.97316911056551,7.168852460224848
